,std,sum,mean,timestamp
1400000US36047000502,15.1876406565,416.447784424,104.111946106,2014-02-15
1400000US36047000700,16.4413538139,351.239868164,87.809967041,2014-02-15
1400000US36047000900,12.7417463328,562.465209961,112.493041992,2014-02-15
1400000US36047001100,18.2020738028,822.788085938,137.131347656,2014-02-15
1400000US36047001300,14.0329565244,842.797729492,140.466288249,2014-02-15
1400000US36047001500,12.5330091502,758.58770752,151.717541504,2014-02-15
1400000US36047001800,29.9282763078,3493.73486328,89.5829452123,2014-02-15
1400000US36047002000,15.2529454123,457.853057861,91.5706115723,2014-02-15
1400000US36047002100,18.009178553,1010.00402832,112.222669813,2014-02-15
1400000US36047002200,14.2455089251,820.163208008,102.520401001,2014-02-15
1400000US36047002300,18.9792251245,713.201477051,142.64029541,2014-02-15
1400000US36047002901,19.0711806247,554.419555664,138.604888916,2014-02-15
1400000US36047003000,11.0457179822,484.885131836,96.9770263672,2014-02-15
1400000US36047003100,11.9298691252,427.267669678,142.422556559,2014-02-15
1400000US36047003300,20.129206058,747.435424805,124.572570801,2014-02-15
1400000US36047003400,19.4622954665,635.242675781,79.4053344727,2014-02-15
1400000US36047003500,6.15942920369,403.711029053,100.927757263,2014-02-15
1400000US36047003600,7.76800586577,305.809112549,76.4522781372,2014-02-15
1400000US36047003700,12.4588674646,720.920715332,120.153452555,2014-02-15
1400000US36047003800,8.2353297337,274.498382568,68.6245956421,2014-02-15
1400000US36047003900,5.62060307209,420.189331055,105.047332764,2014-02-15
1400000US36047004100,7.43492120225,423.848754883,105.962188721,2014-02-15
1400000US36047004300,7.21831402143,461.534545898,115.383636475,2014-02-15
1400000US36047004400,12.6615416214,524.298339844,65.5372924805,2014-02-15
1400000US36047004500,11.0575796791,482.282470703,96.4564941406,2014-02-15
1400000US36047004600,10.0031014613,624.51348877,69.3903876411,2014-02-15
1400000US36047004700,14.3019622828,544.764953613,77.8235648019,2014-02-15
1400000US36047004900,4.1444655317,426.386993408,85.2773986816,2014-02-15
1400000US36047005000,13.2984998273,381.900939941,63.6501566569,2014-02-15
1400000US36047005100,12.3631794279,475.723693848,95.1447387695,2014-02-15
1400000US36047005201,13.021181662,304.917053223,60.9834106445,2014-02-15
1400000US36047005202,12.0910830847,210.516876221,52.6292190552,2014-02-15
1400000US36047005300,33.447490476,2152.59985352,67.2687454224,2014-02-15
1400000US36047005400,15.3213821497,323.055358887,64.6110717773,2014-02-15
1400000US36047005601,19.2819801658,311.764099121,51.9606831868,2014-02-15
1400000US36047005602,19.498323287,314.148071289,52.3580118815,2014-02-15
1400000US36047005800,7.71575054006,444.305389404,74.050898234,2014-02-15
1400000US36047005900,15.248554599,822.542602539,102.817825317,2014-02-15
1400000US36047006000,4.02578341045,309.023529053,77.2558822632,2014-02-15
1400000US36047006200,4.28153170288,234.483337402,78.1611124674,2014-02-15
1400000US36047006300,12.8265773941,407.475585938,101.868896484,2014-02-15
1400000US36047006400,5.15725605716,429.927124023,71.6545206706,2014-02-15
1400000US36047006500,14.7791212295,572.72668457,95.4544474284,2014-02-15
1400000US36047006600,4.53857041021,287.774963379,71.9437408447,2014-02-15
1400000US36047006700,2.19799727402,336.903015137,84.2257537842,2014-02-15
1400000US36047006800,10.8994623174,431.902038574,86.3804077148,2014-02-15
1400000US36047006900,12.3712806121,575.08782959,95.8479715983,2014-02-15
1400000US36047007000,8.97395863562,494.213226318,98.8426452637,2014-02-15
1400000US36047007100,12.187984766,523.379089355,104.675817871,2014-02-15
1400000US36047007200,13.3061156627,266.142791748,88.714263916,2014-02-15
1400000US36047007400,14.8702739998,411.079559326,82.2159118652,2014-02-15
